,generated text
0,A woman is tied up in the rope and a man is behind bars.
1,A woman is seen crying and her two young children crying
2,A woman is shown kissing a man.
3,A woman is shown kissing a penguin and then kissing it on the cheek.
4,A woman is seen floating near Finn and Jake's feet where Finn and Jake are sitting on them
5,A woman is heard crying.
6,"A woman is in the center of the city, wearing a veil and wielding a dagger."
7,A woman is seen crying from the bottom of a pyramid
8,"A woman is thrown in the air, face-down on her hind legs"
9,A woman is gripping Finn's arms while Finn is riding on her bike with her
0,A man is lying on the grass with his hands on his hips and knees
1,A man is lying on the grass with his arms wrapped around him
2,A man is lying on the grass near the lake
3,A man is trapped in a rat's nest with several rats inside it.
4,A man is dancing with two ladies and three girls
5,A man is lying in the grass behind a bench in the grass; his face is contorted and his hands are bound by a blue tie. A mysterious figure walks up to Finn and Jake.
6,A man is lying on the grass in front of the Jiggler
7,A man is being violently kicked by a flying saucer on Ice King's tail end.
8,A man is playing a trumpet and a lady is playing a harp
9,A man is lying on a bench in his sleeping bag on a couch in a pile of junk
0,A person is heard crying in the distance.
1,A person is heard shouting and a large rock falls off the cliff.
2,A person is heard crying.
3,A person is heard screaming in the distance.
4,A person is heard screaming in the distance.
5,A person is heard crying.
6,A person is hurt when someone tries to pull the emergency tab
7,A person is heard crying.
8,A person is heard shouting and the Duke of Nuts is heard crying
9,A person is heard crying. Jake watches them.
0,Finn is shown wearing a pair of black boots.
1,Finn is riding Jake towards the lake when Jake jumps in the air and starts rumbling
2,Finn is riding Jake's bike through the forest and whistling
3,"Finn is shown flying through space and sees a hologram of Bubblegum, who is in a hologram of Princess Bubblegum."
4,Finn is flying through space with a robotic eye.
5,Finn is heard saying  What are you saying?!
6,Finn is frozen for a momentous announcement
7,"Finn is frozen in midair, frozen in midair, and Jake's subconscious is watching"
8,Finn is riding Jake towards the water with a stake out in the water
9,"Finn is shown floating in space, surrounded by a hologram of Princess Bubblegum and Jake."
0,"Finn is not shown using his three-point star, but he does have four."
1,Finn is not scared of the ocean!
2,Finn is not shown floating on the ocean floor
3,"Finn is not in the water and Jake is on his back, so Finn gets on top of them and starts pushing them away from the water"
4,"Finn is not being chased by the Jiggler, Jake is chasing his own tail end."
5,Finn is not riding Jake back to the castle
6,Finn is not scared of the ocean.
7,Finn is not being manipulated and manipulated by Lady Rainicorn.
8,"Finn is not supposed to be the Gut Grinder, but he's supposed to be a hero!"
9,"Finn is not wearing his red bow tie, as seen when Jake arrives at the bridge"
0,Finn thinks  What's happening?
1,Finn thinks  Yeah!
2,Finn thinks  Huh?
3,Finn thinks  Then I'm gonna go out there with the Jiggler and kill it with violence!
4,"Finn thinks  I'm gonna turn all lumpy, and then I'm gonna turn all lumpy!"
5,Finn thinks  YEAH!!!
6,Finn thinks  Yeah! He does so. Jake is shown floating in space.
7,"Finn thinks  Oh, yeah, what'd I say?"
8,Finn thinks Jake's voice is coming from the other side of the lake.
9,Finn thinks Jake's dead and the Jiggler is floating in the middle of the ocean
0,Finn does not think so.
1,Finn does not think he has the body.
2,Finn does not think so.
3,Finn does not think the Ice King is the one to arrest.
4,"Finn does not think Jake is scared, and instead hisses angrily"
5,Finn does not think it's time to save Jake.
6,Finn does not think that is the case.
7,Finn does not think this is the case.
8,Finn does not think so.
9,Finn does not think Jake is crying.
0,Finn's emotions are going away and he's back to being a foot again.
1,Finn's emotions are shown in flashback.
2,Finn's emotions are being manipulated by his subconscious.
3,Finn's emotions are clear and he is now in a daze
4,Finn's emotions are shown as a two-headed monster with arms and legs and feet stretching from their original bodies.
5,"Finn's emotions are still raw and sharp, but he has become a cyborg fighter."
6,Finn's emotions are now clear. Jake's fear is gone.
7,Finn's emotions are clear.
8,Finn's emotions are shown as a stark contrast. Jake is shown crying.
9,Finn's emotions are beginning to fluctuate wildly around the clock.
0,Finn's emotions are not the same as they were before
1,Finn's emotions are not clear. He is overcome by the emotions of fear.
2,Finn's emotions are not clear.
3,Finn's emotions are not entirely clear.
4,Finn's emotions are not as strong as they should be.
5,Finn's emotions are not clear.
6,Finn's emotions are not easily manipulated.
7,Finn's emotions are not as strong as he should be.
8,Finn's emotions are not great.
9,Finn's emotions are not as strong as they should be.
